# Chromatin Architecture Emerges during Zygotic Genome Activation Independent of Transcription
# Clemens B Hug, Alexis G Grimaldi, Kai Kruse, Juan M Vaquerizas
# http://dx.doi.org/10.1016/j.cell.2017.03.024
#
# List of consensus boundary calls for Drosophila melanogaster embryos at nuclear cycle 12, 13, 14 and at 3-4hpf
# NA denotes boundaries not called or called with a score <0.5 at this stage
#
chrom	start	end	c12	c13	c14	3-4h
2L	7230000	7240000	0.528817861682	0.876474102728	1.74664899102	1.94339367182
2L	7500000	7510000	NA	NA	0.977430987074	1.45904710966
2L	7800000	7810000	NA	0.652721877501	1.29091556127	1.84055992707
2L	8020000	8030000	NA	0.623924064336	0.984559581738	1.5489369243
2L	8395000	8405000	NA	NA	0.845307942944	1.00613907076
2L	8500000	8510000	NA	0.733903782333	1.26903197793	1.20301247388
2L	8730000	8740000	NA	NA	NA	0.681888375876
2L	8920000	8930000	NA	NA	0.68041014484	1.20917891436
2L	9135000	9145000	NA	NA	0.822498570357	1.82389071741
2L	9450000	9460000	NA	0.847988677988	1.60848666936	1.56647886469
2L	9700000	9710000	NA	0.62760746964	1.31542756016	0.989474741481
2L	9900000	9910000	0.615903914685	NA	NA	NA
2L	9970000	9980000	NA	1.36433611212	2.34610256492	3.12858595605
2L	10210000	10220000	0.962559956345	1.6625955502	2.71632425453	3.21160360309
2L	10420000	10430000	NA	NA	NA	1.66868573503
2L	10440000	10450000	0.704847836205	0.964203549109	1.51165562216	NA
2L	10715000	10725000	NA	NA	0.568802590467	0.677507431197
2L	10990000	11000000	NA	0.598002310599	0.986545211929	2.29643376255
2L	11110000	11120000	NA	NA	0.700083947425	0.953575417123
2L	11260000	11270000	NA	NA	NA	1.45081054604
2L	11490000	11500000	0.692736925208	1.34526883769	2.51782260732	3.10332832482
2L	11790000	11800000	0.833029576544	1.12985294871	1.38065293124	0.850412256112
2L	11980000	11990000	0.517802919933	0.923274474411	1.50906561536	1.97814333729
2L	12080000	12090000	NA	0.593044868922	0.990975768051	1.28142184232
2L	12430000	12440000	NA	0.819228792976	1.71903254488	2.11168692903
2L	12700000	12710000	NA	0.661898446678	1.48724298531	2.53633825629
2L	13190000	13200000	1.120386049	1.62537590541	1.94897094566	2.40550555811
2L	13370000	13380000	NA	NA	NA	0.539670226673
2L	13515000	13525000	NA	NA	0.692546429471	0.762088117581
2L	13800000	13810000	NA	0.715738369029	1.20283635965	2.15114308991
2L	13890000	13900000	NA	NA	0.739319305781	NA
2L	14240000	14250000	NA	NA	0.6884316566	0.74310233069
2L	14320000	14330000	NA	NA	NA	0.820134807616
2L	14335000	14345000	NA	NA	0.558629475926	0.820134807616
2L	14580000	14590000	NA	NA	NA	1.04946497397
2L	14705000	14715000	NA	NA	0.727055372489	1.01687857565
2L	15030000	15040000	NA	0.894665796371	1.34007697877	1.75017546051
2L	15265000	15275000	0.641207930935	0.907593214715	1.4693719196	2.06602765315
2L	15490000	15500000	0.796658244107	1.33541697427	2.07061747702	2.50859037417
2L	16290000	16300000	0.665985475407	1.16424034503	2.03587188571	2.65919163022
2L	16500000	16510000	NA	NA	1.06619497701	1.63437260966
2L	16710000	16720000	NA	0.737513993957	1.02358857698	1.87067690122
2L	16865000	16875000	NA	NA	0.897995752423	0.873564392963
2L	17180000	17190000	NA	NA	0.679897531285	0.764428936025
2L	17370000	17380000	NA	NA	NA	0.846843534616
2L	17490000	17500000	NA	NA	0.703537899053	NA
2L	17740000	17750000	NA	0.567661976863	0.833436442367	0.784175726925
2L	18135000	18145000	0.70438921627	1.12136363941	1.48889114528	1.00914867249
2L	18280000	18290000	NA	NA	NA	0.977062964892
2L	18440000	18450000	NA	NA	1.1319078888	1.13577479808
2L	18610000	18620000	NA	NA	0.61534034288	NA
2L	18670000	18680000	NA	NA	0.599805370074	1.40953918448
2L	18830000	18840000	NA	NA	NA	0.806435490857
2L	18960000	18970000	NA	NA	NA	1.13741362561
2L	19150000	19160000	NA	0.927887813071	1.74960640392	2.6180362175
2L	19420000	19430000	NA	0.571637131498	1.10730957255	1.47329361501
2L	19560000	19570000	NA	0.973436128024	1.80596395787	2.46870467734
2L	19800000	19810000	NA	0.989610916665	1.55562051391	2.20181417963
2L	20080000	20090000	0.641944113251	0.985988839523	1.53469661783	2.05672493013
2L	20340000	20350000	NA	NA	NA	0.606643498368
2L	20435000	20445000	NA	NA	0.548770508341	0.84314628681
2L	20770000	20780000	0.717930164313	1.56000322197	1.76187133143	1.64470304516
2L	20910000	20920000	NA	NA	NA	0.947368869887
2L	21125000	21135000	0.617265918609	0.920919715894	1.1823786464	1.45082524116
2L	21745000	21755000	NA	NA	0.616249022756	0.961039709004
2L	21890000	21900000	NA	NA	0.614009566096	1.25105014658
2L	22125000	22135000	0.830351049726	1.18555336838	1.27660019411	1.58837936715
2R	4815000	4825000	NA	NA	0.721829141081	1.12358390415
2R	5100000	5110000	0.723820029819	0.81773612275	1.16961820417	1.74121474729
2R	5360000	5370000	NA	NA	NA	0.650659439466
2R	5670000	5680000	NA	0.861020839578	1.26317373969	2.05270854974
2R	5960000	5970000	0.592806181652	0.895782484558	1.28174266365	2.01970252233
2R	6170000	6180000	NA	0.956994032327	1.2664166713	1.06936251276
2R	6650000	6660000	0.572434740561	1.17680982828	1.96912889755	2.84245757709
2R	6980000	6990000	NA	NA	0.818665284372	1.55131295457
2R	7475000	7485000	0.859732643112	1.247142005	1.4038188573	1.51533583554
2R	7940000	7950000	0.674086846623	1.20647542491	2.16105737324	1.77988877984
2R	8110000	8120000	NA	NA	NA	1.622780696
2R	8210000	8220000	0.558008074367	0.666624427246	1.20015262946	NA
2R	8380000	8390000	NA	NA	NA	0.635936120028
2R	8620000	8630000	0.615989244309	1.30602676764	2.21315536455	3.05549449266
2R	8910000	8920000	NA	0.902591958464	1.54833109056	2.19797675125
2R	9120000	9130000	NA	NA	NA	1.58837444532
2R	9180000	9190000	NA	NA	0.57490808919	NA
2R	9410000	9420000	NA	0.610993431379	1.18357898649	1.70238747314
2R	9560000	9570000	NA	0.555384921915	1.07029460149	1.68428105185
2R	9840000	9850000	NA	0.711298549927	1.09088369299	1.30623011196
2R	10080000	10090000	NA	0.516943537736	1.2231576857	1.31488241401
2R	10430000	10440000	NA	0.714144646402	1.71597461175	1.77691826933
2R	10550000	10560000	NA	0.915045170403	1.32657440599	1.60888352658
2R	10825000	10835000	0.547734430202	1.35909137321	2.49195809103	3.04508293907
2R	11210000	11220000	0.579472506308	0.728181806426	0.844030914299	0.83717755219
2R	11390000	11400000	NA	0.84139026306	1.05404363731	1.30228775815
2R	11620000	11630000	0.581917574571	1.42485319287	2.5063804385	3.15621981412
2R	11830000	11840000	NA	0.742541270447	1.06906239068	1.33433678088
2R	11990000	12000000	NA	NA	0.918520101392	1.08511337955
2R	12170000	12180000	0.748041029477	1.36672464594	2.3993787264	2.36864055291
2R	12445000	12455000	0.58554078286	0.82095519998	1.48334363281	1.40423697517
2R	12570000	12580000	NA	NA	1.0723774636	1.40555453111
2R	12775000	12785000	NA	0.818990172903	0.737133889213	0.6801865849145
2R	12880000	12890000	NA	NA	0.942054666157	1.74736677555
2R	13195000	13205000	0.580374793782	1.41172754526	2.25748697188	3.18712959934
2R	13450000	13460000	NA	0.977019034897	1.57791121622	1.64593506823
2R	13550000	13560000	0.813983131575	1.27605505029	1.99013336551	2.20878503798
2R	13820000	13830000	NA	0.702483016695	1.38181999058	1.58826016555
2R	13955000	13965000	0.764148756263	1.56489046291	2.45604940441	2.41471369185
2R	14180000	14190000	NA	0.800991358456	1.28041442485	1.33080926358
2R	14460000	14470000	NA	0.750227894996	1.10238896398	1.39702794837
2R	14600000	14610000	NA	0.503444893232	0.964416323904	1.55030736495
2R	14760000	14770000	NA	0.650282440167	0.981816591293	1.3101725043
2R	14860000	14870000	NA	NA	0.700918726693	NA
2R	14960000	14970000	NA	1.16529652481	2.31494721637	2.93982734203
2R	15140000	15150000	NA	0.768222705224	1.39272449732	2.27529966853
2R	15340000	15350000	NA	0.635053605113	1.04217712701	1.65614921227
2R	15525000	15535000	NA	NA	1.31836998449	1.31213686681
2R	15680000	15690000	NA	0.734177875982	1.00420367591	0.804132538129
2R	15875000	15885000	0.562843176778	1.27645086617	1.52157780439	1.38845589012
2R	16170000	16180000	NA	0.808810312322	1.30351984737	2.16421876738
2R	16320000	16330000	NA	NA	0.842985242198	1.2378695176
2R	16560000	16570000	NA	0.778452289637	1.34147069785	1.96296552167
2R	16840000	16850000	NA	0.615734085238	1.2750756097	1.64085108146
2R	17010000	17020000	NA	0.726174085472	1.33037534355	1.57175804779
2R	17410000	17420000	0.608915079904	0.905845104397	1.55550915614	2.05939761813
2R	17560000	17570000	NA	0.503456078021	0.771770406199	0.708744331135
2R	17710000	17720000	NA	NA	NA	0.66197510986
2R	17835000	17845000	0.522428677563	1.33456060051	2.11904095734	2.09001076996
2R	18135000	18145000	0.586463522087	1.35408182754	2.26037566768	2.81926340694
2R	18415000	18425000	NA	NA	1.12178864774	1.45344580422
2R	18660000	18670000	NA	0.518189542932	0.917755125512	1.73516315991
2R	18805000	18815000	NA	NA	0.811629236419	1.24236343451
2R	18950000	18960000	NA	NA	0.545949707133	NA
2R	19135000	19145000	NA	NA	1.18407380203	1.7460288213
2R	19260000	19270000	NA	0.564856521559	0.749432645713	1.26734400533
2R	19430000	19440000	NA	1.01301090098	1.95060669969	2.63463818294
2R	19665000	19675000	0.769348582689	1.27454217212	1.32214598705	1.03046523826
2R	20015000	20025000	NA	NA	0.616733597262	1.00291727559
2R	20270000	20280000	1.06441691342	1.58884339557	1.87798388282	2.31429699959
2R	20585000	20595000	0.877164322327	1.56047530629	2.56193612968	3.00960148004
2R	20830000	20840000	NA	0.599786880578	1.22518383945	1.62338319607
2R	20995000	21005000	0.641830332551	0.968509262569	1.03706215575	1.28227628629
2R	21150000	21160000	NA	NA	NA	0.970229456423
2R	21280000	21290000	NA	0.501422215844	0.650050046843	0.941024443721
2R	21520000	21530000	0.697828951516	1.29352874824	1.54247653213	1.81418357233
2R	21690000	21700000	NA	0.964244122238	2.4790751157	2.7426420668
2R	22080000	22090000	NA	0.642799077717	1.01915056937	1.26614176605
2R	22370000	22380000	NA	0.535518458864	0.994039107084	0.530801307196
2R	22680000	22690000	NA	0.775544212961	1.15630544544	1.27012434424
2R	22850000	22860000	NA	NA	NA	1.37073282695
2R	23055000	23065000	0.659706218526	0.793633348044	1.44123493599	1.36709904875
2R	23350000	23360000	NA	0.882287139252	1.77404220383	1.8837158601
2R	23545000	23555000	NA	NA	1.75270565327	2.29796337645
2R	23650000	23660000	NA	0.981546303226	1.32882969256	1.08041357418
2R	23850000	23860000	NA	0.843412190614	1.46851056485	1.79976421364
2R	24030000	24040000	NA	NA	NA	0.666513529394
2R	24310000	24320000	NA	NA	NA	0.565868915202
2R	24530000	24540000	NA	0.600699069547	1.46537186472	2.47129444529
2R	24760000	24770000	NA	NA	0.801605635927	1.91847458438
2R	25000000	25010000	NA	0.574815900127	1.18940202434	1.48219230523
3L	315000	325000	0.527458493094	0.698388457979	0.883237482951	2.3083167642
3L	530000	540000	NA	NA	0.545310559379	NA
3L	645000	655000	NA	NA	0.61817497823	0.82029272609
3L	840000	850000	NA	0.56140133119	1.47676795708	1.83895036099
3L	1040000	1050000	NA	0.514980309661	0.748324239201	1.12107630329
3L	1320000	1330000	0.529176103034	1.23153259889	2.2861983929	3.60139300737
3L	1550000	1560000	NA	0.988600109265	1.89458972511	2.38334836014
3L	1850000	1860000	NA	NA	0.970004898035	NA
3L	1920000	1930000	NA	NA	NA	1.40649273152
3L	2205000	2215000	0.912423746633	0.898578503717	0.858934582848	0.657244423711
3L	2390000	2400000	NA	NA	NA	1.19302169228
3L	2465000	2475000	NA	0.554109179085	1.57036500143	NA
3L	2570000	2580000	NA	NA	NA	1.24056220272
3L	2840000	2850000	0.619710051158	0.796479379556	1.049092644	2.20489072485
3L	3050000	3060000	NA	0.926677723896	2.31389995903	1.73861323081
3L	3180000	3190000	NA	NA	0.505975533291	0.653201598245
3L	3320000	3330000	NA	NA	NA	0.96129834585
3L	3590000	3600000	NA	NA	0.532942682405	0.961385076401
3L	3780000	3790000	0.546735090417	0.934805603675	1.53383107929	2.00827647242
3L	4120000	4130000	NA	0.545523886115	0.793801723398	0.863600362535
3L	4245000	4255000	NA	NA	0.80974421426	1.34952617121
3L	4390000	4400000	NA	0.685040244344	1.20741745096	1.0819726713
3L	4620000	4630000	NA	NA	0.510126464886	NA
3L	4815000	4825000	NA	NA	0.618587741381	0.776828056748
3L	5135000	5145000	NA	NA	0.55304181657	0.951109447983
